,game,developers,publishers,franchises,features,released_date,platform,genres,score,score_text,esrb,esrb_info
7396,Balloon Headed Boy,['Morpheme'],['Morpheme'],,['Number Of Players'],2004-06-01 00:00:00,"['iPhone', 'Wireless']",['Platformer'],8.5,great,,
7397,World War Z [2013],['Phosphor Games'],['Paramount Digital Entertainment'],['World War Z'],,2013-05-30 00:00:00,"['iPhone', 'Android']",['Shooter'],5.3,mediocre,,
7398,Tom Clancy's Rainbow Six,['Red Storm Entertainment'],['Red Storm Entertainment'],['Rainbow Six'],"['Memory Card', 'Offline Co-Op Multiplayer']",1998-05-15 00:00:00,"['Macintosh', 'PC']",['Shooter'],9.4,amazing,Teen,"['Realistic Blood', 'Violence', 'Blood and Gore', 'Animated Violence']"
7399,Mario Golf: Super Rush,['Camelot Software Planning'],['Nintendo'],"['Mario', 'Mario Golf']","['Offline Versus Multiplayer', 'Online Versus Multiplayer', 'Mii']",2021-06-25 00:00:00,['Nintendo Switch'],"['Sports', 'Golf']",6.0,okay,Everyone,"['Mild Cartoon Violence', ' Users Interact', ' In-Game Purchases']"
7400,Solar 2,['Murudai'],['Murudai'],,['Online'],2011-06-17 00:00:00,"['iPhone', 'PC']",['Action'],8.0,great,,
7401,4x4 EVO,['Terminal Reality'],"['Gathering of Developers (aka GOD Games)', 'Take-Two Interactive ']",['4x4 Evo'],"['Number Of Players', 'Memory Card', 'Vibration', 'DualShock', 'Memory Blocks', 'Online', 'Local - VS # of Players']",2000-10-18 00:00:00,"['PlayStation 2', 'PC', 'Macintosh', 'Dreamcast']",['Racing'],5.0,mediocre,Everyone,['No Descriptors']
7402,Soul Fighter,['Toka'],"['Mindscape', 'Electro Source']",,"['Number Of Players', 'Vibration', 'Memory Card']",1999-11-23 00:00:00,['Dreamcast'],['Fighting'],2.5,painful,Teen,"['Animated Blood', 'Animated Violence']"
7403,Tales from the Borderlands -- Episode 3:  Catch a Ride,['Telltale Games'],['Telltale Games'],['Borderlands'],,2015-06-23 00:00:00,"['Android', 'PC', 'PlayStation 4', 'Macintosh', 'Xbox 360', 'PlayStation 3', 'Xbox One', 'iPhone', 'PlayStation Vita']","['Adventure', 'Episodic']",9.0,amazing,Mature,"['Violence', 'Blood and Gore', 'Strong Language']"
7404,CSI: Crime Scene Investigation: Dark Motives,['Ubisoft'],['Ubisoft'],['CSI'],['Number Of Players'],2004-03-23 00:00:00,"['Nintendo DS', 'PC']",['Adventure'],4.8,bad,Teen,"['Violence', 'Blood and Gore', 'Mild Language', 'Alcohol and/or Tobacco References', 'Mild Sexual Themes', 'Blood']"
7405,Labyrinth Legends [2012],['Creat Studios'],,,"['Number Of Players', 'Local - VS # of Players']",2012-12-18 00:00:00,['PlayStation 3'],['RPG'],7.7,good,Teen,"['Blood and Gore', 'Violence']"
7406,Serious Sam HD,"['Croteam', 'Devolver Digital']","['Majesco', 'cdv Software Entertainment']",['Serious Sam'],"['Number Of Players', 'Online - VS Number Of Players', 'Online - Co-Op Number Of Players', '16:9', '480p', '720p', 'Online Leaderboards', 'Online', 'Mic/Headset Voice']",2009-11-24 00:00:00,"['Xbox 360', 'PC']",['Shooter'],7.5,good,Mature,"['Violence', 'Blood and Gore']"
7407,Watchmen: The End is Nigh -- Part 2,['Deadline Games'],['Warner Bros.  Interactive'],,"['16:9', '1080i', 'Local - Co-Op # of Players', '480p', '720p', 'Number Of Players', 'Dolby Digital 5.1']",2009-07-21 00:00:00,"['Xbox 360', 'PlayStation 3', 'PC']","['Action', 'Compilation']",5.0,mediocre,Mature,"['Strong Language', 'Blood', 'Sexual Content', 'Nudity', 'Blood and Gore', 'Violence']"
